name,byname,belonging,population,girls_population,mailaddress,twitter,homepage,"Youtube,インスタグラムなどのその他アカウント",campus,area,clubroom,festival,festival_doing,intercollegiate_group,intercollegiate_population,affiliated_schools,action_day,minimum_day,action,action_career,sponsor,need_tool,april,may,june,july,august,september,october,november,december,january,february,march,nomikai_frequency,nomikai_intensity,couple,handsome_beauty,honest,serious,past_questions,find_work,introduction
體育會ボクシング部,,体育会,20,4,keioboxing@hotmail.com,@keio_boxing,http://keioboxing.jp/,Instagram：keio_boxing,日吉,日吉蝮谷内ボクシング道場,日吉蝮谷内ボクシング道場,参加しなかった。,,,,,火〜金：17:45 土日：10:00,全参加,練習,関東大学ボクシングリーグ２部準優勝,,練習着、靴,新歓、横浜市民体育大会,リーグ戦,リーグ戦,リーグ戦、納会,夏合宿,,関学戦,全日本選手権大会,早慶戦、納会,試験off,春合宿,追いコン,半期に1回～月1回,普通,少なめ,普通,普通,プロ,まあ出回る,體育會のため縦の繋がりが強く、OBの方々にも協力していただけます。,とても仲が良く楽しい部活です。
慶應義塾理工学部體育會ラグビー部,リコタイラグビー KER,理工学部体育会,55,9,なし,@KERRUGBY,http://www.ker-rugby.org/,https://www.instagram.com/keio.e.rugby,矢上,矢上グラウンド,矢上グラウンドの前,参加しなかった。,,,,,水土日,予定に合わせて適宜欠席可,練習、他チームとの練習試合,理工系リーグ1部、学生クラブ選手権2部Aチーム,,,新歓 通常練習 練習試合 ラグビー祭,通常練習 練習試合,通常練習 練習試合 春季納会,off,秋シーズン開始 通常練習 練習試合,夏合宿@菅平 通常練習 練習試合,通常練習 クラブ選手権大会,通常練習 クラブ選手権大会 秋季納会,off,off,春シーズン開始 通常練習 練習試合,通常練習 練習試合 追いコン,半期に1回～月1回,普通,普通,普通,普通,アマチュア,出回ったのを見たことがある。,OGOB強いです！,部費は0円！ 日吉キャンパスから歩いていける矢上グラウンドでの活動です。グラウンド、部室、ウエイトルーム、シャワールーム完備です！同期はもちろん、先輩後輩ともに仲良く、学年を超えて遊びに行ったりもしています。勉強もスポーツもどちらも本気な人にはぴったりです！
慶應義塾体育会矢上部硬式庭球部,リコタイテニス部,理工学部体育会,29,8,なし,@rikotai_tennis,https://rikotaitenniskeio.wixsite.com/official-page,インスタグラム→keio_rikotaitennis,矢上,慶應大学矢上キャンパス内コート,慶應義塾大学矢上キャンパス,参加しなかった。,,,,,週3~5,週3,矢上キャンパス内コートでの練習、他大学との対抗戦、関東理工連盟主催大会への出場、JTA主催個人戦への出場など,関東理工科リーグ第1部(全13部中)準優勝,,ラケット、ウェア、テニスシューズ,新歓期間,部内戦,前期納会,テスト前オフ期間,夏合宿、理工科個人戦、夏季練習,夏季練習,理工科リーグ戦期間,理工科新人戦トーナメント,後期納会、冬季オフ,テスト前オフ期間,春季練習、二軍戦期間,春合宿、早慶戦、春季練習,半期に1回～月1回,飲まない,普通,普通,真面目,セミプロ,めちゃ強い,多数の有名企業就職のOBOGの方々との交流、活動を通して社会に出た時必要となるマナーを身につけられるなど,"慶應義塾体育会矢上部硬式庭球部(リコタイテニス部)です！
 私達は理工科リーグ1部優勝を目指して日々練習に取り組んでいます！
 私たちの部は普段の練習に加えて、矢上キャンパスにあるコートをほとんど毎日使用することができ、コートは日吉キャンパスから歩いて約5分の立地のため、空きコマや休みの日などいつでもテニスができ、さらにナイター設備も完備しているため、時間帯を問わず練習ができます！その他にも壁打ちコートやトレーニング室、ガット張り機、シャワー室など充実した設備の中テニスができるため、どのレベルの選手でもかなり上手くなることができます！また今年からプロ選手を指導する牟田口恵美さんをコーチとして迎え、さらに上のレベルを目指すことができるようになりました！
 また、勉強面に関しても理工学部のスケジュールに合わせた日程となっており、テスト前には必ず1ヶ月のオフ期間があるため、勉強面に関しても心配はありません！
 また、勘違いされがちなのですが、文系学部、SFC所属の人も入部でき、現に部員の約半数が、文系、SFCの学部生です！初心者の方も大歓迎なので、ぜひ一度矢上キャンパスのコート、新歓の食事会、説明会に来て雰囲気を確かめてみてください！
 テニスが大好きな人、競技テニスとしてのテニスでレベルアップしたい人などいろんな方々の入部お待ちしております！私達と一緒に充実した熱い大学生活を送りましょう！"
理工学部体育会アメフト部BISON,,理工学部体育会,35,4,なし,@keiobison,https://bisonhorn.wixsite.com/keiobison,インスタ:keio_bison,矢上,矢上グラウンド,矢上キャンパス,参加しなかった。,,,,,週2〜4,週2,アメフト,,,やる気,新歓イベント,早慶戦,オープン戦,オープン戦、夏休みイベント,夏合宿,リーグ戦,リーグ戦、温泉旅行,リーグ戦、どんぐり収穫祭,リーグ戦、クリパ,お年玉争奪戦,新体制スタート,練習,半期に1回～月1回,飲まない,普通,全員,かなり真面目,プロ,めちゃ強い,OB会が毎年開催されます,慶應義塾大学理工学部体育会アメリカンフットボール部BISONです。関東学生フットボールクラブ連盟KCFF1部に所属する、長き伝統をもつクラブです🔥矢上キャンパスで週4回練習を行っています！学部学年を問わずプレーヤー、マネージャー共に大募集！初心者大歓迎です！
学生団体GEIL,ガイル,非公認団体（学校に届けを出していない団体）,6,4,info@waavgeil.jp,＠waavgeil,https://waavgeil.jp/,@policymakingcontestgeil（Facebook）,東京大学駒場キャンパス,東京大学駒場キャンパス,上智大学、東京大学に部室があります。,参加していない,,東京大学、一橋大学、早稲田大学、上智大学の他、首都圏の様々な大学,50,,毎週金曜日,特になし,毎年夏に学生のための政策立案コンテストを開催しています。イベントに向けての準備を行います。企画運営をはじめ、渉外金の獲得、広報活動に至るまで全ての活動を学生のみで行っています。,毎年夏、全国の大学生、大学院生を対象とした政策立案コンテストを開催します。,多数。詳しくはこちら（https://waavgeil.jp/supporter/ )をご覧下さい。,,,PreGEIL1泊2日の政策立案体験合宿（新入生対象）、五月祭（東大）に出店,1日完結型のイベント、1泊2日の内部向け宿泊型イベント,,学生のための政策立案コンテスト,執行代交代、新体制発足,,,,,,春の政策立案イベント,半期に1回～月1回,控え目,いない,普通,真面目,セミプロ,出回ったのを見たことがある。,学生のみで、しかも大学1、2年生が中心となり本格的な政策立案イベントを開催する経験は、就職活動で自信をもってアピールすることができるでしょう。,「学生のための政策立案コンテスト」を開催している学生団体GEILです。構成員は主に大学1、2年生。学生だけで1からイベントを作り上げていきます。優秀な仲間やイベント参加者との出会いに刺激を受けながらGEILで過ごす濃密な一年半、あなたは何にチャレンジしますか？
さよならモラトリアム,さよならモラトリアム,未公認団体（学校に届けを出している団体）,9,9,sayomora.2020@gmail.com,@sayomora_keio,,インスタ:sayonaramoratorium,日吉,日吉キャンパス独立館、都内スタジオ,,参加した,メインステージにて公演を行いました。,,,,週3回(メンバーの履修状況に合わせて曜日を決定します),基本全参加(メンバーの予定に合わせて活動日を決定します),アイドルコピーダンスの全国大会「UNIDOL」への出場、各種学祭や外部イベントへの出演に向けて練習を行います。,"UNIDOL2016-17winter 全国第3位
 UNIDOL2017Fresh 優勝
 UNIDOL2018Fresh 第3位
 UNIDOL2019summer 全国準優勝
 その他:2018年2月 単独公演開催",,練習着、マイク、やる気,新歓、新メンバーオーディション,新メンバーお披露目、予選に向けての練習,UNIDOL summer 関東予選,SFC七夕祭、決勝戦に向けての練習,UNIDOL summer決勝戦,外部イベントや学祭の出演、それに向けての練習,UNIDOL Fresh大会、SFC秋祭などの学祭,三田祭、冬予選に向けての練習,UNIDOL winter 関東予選,決勝戦に向けての練習,UNIDOL winter 決勝戦,卒業コンサート,なし～年1回,飲まない,いない,多め,かなり真面目,プロ,出回ったのを見たことがある。,学生時代に本気で取り組む経験ができます。,慶應義塾大学アイドルコピーダンスサークル、さよならモラトリアムです！UNIDOLという大会で優勝することを目指して活動しています。主にハロプロやAKBなど沢山のアイドルをコピーしています！私たちと本気でステージを作りませんか？少しでも気になった方は気軽にご連絡ください！
お散歩サークルRAMBLER,RAMBLER,非公認団体（学校に届けを出していない団体）,17,2,keio.rambler2020@gmail.com,@keio_osampo,https://clubosanpo.exblog.jp/,【Instagram】https://www.instagram.com/rambler.osampo/,日吉,不特定,,参加した,二年前は屋台で焼き担々麵を販売していました。,相模女子大学、学習院女子大学(ただし、特定の大学と活動しているのではなく、大学は問わない感じです。),19,,月2,特になし,東京・神奈川近辺をお散歩,過去にはNHKスペシャルや日本経済新聞、朝日新聞、AERAに取材していただきました。,,特になし,新歓お散歩,新歓お散歩,総会、親睦会、お散歩,試験期間のため、活動は休み,ナイトウォーク、山手線すごろくゲーム(お散歩です),夏季合宿、お散歩,お散歩,お散歩、OBOG会、(年度によっては三田祭にも出店),総会、お散歩、東京メトロ謎解き散歩,試験期間のため、活動は休み,春季合宿、お散歩,お散歩、送別会、OBOG会,半期に1回～月1回,飲まない,いない,少な目,普通,遊び,出回ったのを見たことがある。,脚力が鍛えられるので、連日のOBOG巡りや企業説明会、面接など就職活動での徒歩移動が楽にできます。また、散歩中は延々と雑談をしているので、トーク力も磨けることでしょう。,"当サークルでは、東京や神奈川の名所を適当に歩きながら、雑談や食べ歩きを楽しめます。また、月２でインスタ映えする名所を回るので、Instagramの投稿のネタにも困りません。
 サークル内の仲も良く、アットホームな雰囲気で居心地も抜群ですし、色々な趣味嗜好(次元を問わずアイドルなど)や属性(キラキラ女子とか)をもった方がいるので、誰かしらは気が合うと思います。そして、代表と副代表(女子含む)が強制飲酒からあなたを全力で守ります。
 なかなかに安全・安心のサークルだと自負しておりますので、ご興味のある方は是非新歓散歩にいらしてくださいね。"
Kプレミアムオーケストラ,Kオケ,独立団体,120,70,k.premium.orchestra@gmail.com,@k_premium_orche,http://korche.minibird.jp/wordpress/,,日吉,日吉、新宿周辺,塾生会館320,参加しなかった。,,,,,毎週月・水,全参加,パート練習、全奏,年に2回の定期演奏会,,楽器(パートによって貸出あり)、譜面台,新歓オリエンテーション,新歓合宿,,,,夏合宿,,,,,冬合宿,,半期に1回～月1回,飲まない,普通,多め,普通,アマチュア,まあ出回る,OB、OGの先輩と話せる機会があります。,Kオケは年2回の定期演奏会に向け、日々練習に励んでいます。私たちの演奏会は、曲目選定から練習場や演奏会場の手配、チラシ・パンフレット等の注文、当日のスタッフまで団員が行うため、とてもやりがいがあります。また、サークル活動としての練習は週2日のため、それ以外の日は塾生会館で自主練習、勉強やバイトをはじめとした課外活動もでき、充実した大学生活が送れます。年間の行事の中でも夏と春に行われる約5日間の合宿では、練習はもちろん、肝試しや花火などのイベントもあり、普段話す機会の少ない先輩たちとも仲良くなれるチャンス！私たちと一緒に最高の思い出を作りませんか？少しでも興味を持っていただいた方は、部室、お茶会、説明会などに、ぜひお越しください！学部も様々で個性豊かな団員たちが皆さんをお待ちしています。入団時の実力を問わず、熱意ある奏者を全パートで大募集しています！ Twitterでも情報を発信しています！
ジャグリングサークルI-Wing,I-Wing,独立団体,15,2,i.wing.juggling@gmail.com,＠IWingJuggling,,,日吉,独立館2F,塾生会館319,参加した,メイン・ミニステージでのジャグリングパフォーマンス,,,,木曜を中心にいつでも,自由,ジャグリングの練習,全国大会優勝者・関東学生大会優勝者 など,,道具（貸し出しあり）,新歓,営業など,,,合宿,三田祭の準備,三田祭の練習,三田祭,三田祭の反省,,,追いコン,半期に1回～月1回,控え目,いない,普通,真面目,アマチュア,出回ったのを見たことがある。,,大学始めの初心者からセミプロレベルまで様々な人が所属してます。ジャグリングって難しいと思うかもしれませんが、やってる人も同じ人間なので練習次第でいくらでもすごいことができます。体験練習会などもやってるのでお気軽にお越しください！
手話サークルMiMi,MiMi,独立団体,47,26,keio.mimi2@gmail.com,‪@MiMi_Keio,https://mimix.yokochou.com/,,日吉,日吉キャンパス,塾生会館211号室,参加した,手話コーラス、手話劇など、手話を使った公演をおこないました。,,,,土,特になし,手話の勉強会、お茶会,,,,オリエンテーション、新歓コンパ,新歓合宿,前期総会、前期総会コンパ,,夏活、納涼コンパ、夏合宿,夏活,ろう者コンパ,三田祭,後期総会、後期総会コンパ、クリパ,,冬合宿,追いコン,活動後毎回,控え目,少なめ,多め,かなり真面目,同好会,まあ出回る,,"こんにちは！私たちは手話サークルMiMiです！MiMiは楽しく手話を学ぶサークルです！
 活動は主に毎週土曜日、日吉キャンパスにて、勉強会、お茶会を行っています。活動ではろう者さんや先輩とお話をする中で自然と手話が身につきます！コンパ、クリスマスパーティー、合宿など、イベントも盛りだくさん！手話を学ぶうちに、同期はもちろん、先輩とも仲良くなれます！メンバーのほとんどが大学から手話を始めており、先輩もしっかりサポートするので、初心者大歓迎です！
 また、活動は自由参加なので、バイトや兼サーで忙しい方も、ぜひ一度見学にお越しください！みんなで楽しく、手話を覚えてみませんか？"
